id,suite,task,substrate,variant,plasticity,budget,seed,status,measurement
383bf62164f4cfcd0d344437,drone,attitude,banc,degree_rewired,joint,80000,0,ready,unmeasured
8c4293086b4dc6c5ddabbe79,drone,attitude,banc,community_rewired,joint,80000,0,ready,unmeasured
77f8661d399005b1e8f80bae,drone,attitude,banc,random,joint,80000,0,ready,unmeasured
47cc8ccd8bec7ffd7b814131,drone,attitude,banc,adapter_only,joint,80000,0,ready,unmeasured
7f177fc19bf57aad9f74b969,drone,attitude,banc,rnn,joint,80000,0,ready,unmeasured
f2503967a1a3546a38188398,drone,attitude,banc,gru,joint,80000,0,ready,unmeasured
0aa2d1c95bf80b7e9d7b60c2,drone,attitude,banc,real,adapters,80000,1,ready,unmeasured
0481f8c82e2ef41e8d119169,drone,attitude,banc,degree_rewired,adapters,80000,1,ready,unmeasured
077f7ef2d2faf9a0a54ea4a9,drone,attitude,banc,community_rewired,adapters,80000,1,ready,unmeasured
ee1f24831d049fcbd8ba2e76,drone,attitude,banc,random,adapters,80000,1,ready,unmeasured
7e9e4f503696b2021a93d323,drone,attitude,banc,adapter_only,adapters,80000,1,ready,unmeasured
b1f7aa216bdc77d83a301ee2,drone,attitude,banc,rnn,adapters,80000,1,ready,unmeasured
9d8c1103ba45ee015f4d3386,drone,attitude,banc,gru,adapters,80000,1,ready,unmeasured
c65dd399b3cffa6231542d7d,drone,attitude,banc,real,joint,80000,1,ready,unmeasured
56a7772a8ca5b1d28975eaff,drone,attitude,banc,degree_rewired,joint,80000,1,ready,unmeasured
7a5e7f05456cbe7b966b4bf2,drone,attitude,banc,community_rewired,joint,80000,1,ready,unmeasured
d51661b1063035c9761655db,drone,attitude,banc,random,joint,80000,1,ready,unmeasured
6e81450bf7c923943a076ee7,drone,attitude,banc,adapter_only,joint,80000,1,ready,unmeasured
ba01782c6d517e3929981817,drone,attitude,banc,rnn,joint,80000,1,ready,unmeasured
1ac9c5cfc2f99a0882443f06,drone,attitude,banc,gru,joint,80000,1,ready,unmeasured
42e4885c370c0a278c051a2b,drone,attitude,banc,real,adapters,80000,2,ready,unmeasured
ef378514fd95a16b19111827,drone,attitude,banc,degree_rewired,adapters,80000,2,ready,unmeasured
3d3d466c7f3f86a80a9c637f,drone,attitude,banc,community_rewired,adapters,80000,2,ready,unmeasured
416a8776c04fa29506f4d267,drone,attitude,banc,random,adapters,80000,2,ready,unmeasured
dcf84f0c80360764e3054bec,drone,attitude,banc,adapter_only,adapters,80000,2,ready,unmeasured
2f2257bbbcef137f9cced81f,drone,attitude,banc,rnn,adapters,80000,2,ready,unmeasured
419508f56ca71ac66d8c8c20,drone,attitude,banc,gru,adapters,80000,2,ready,unmeasured
4e4a1015914965e89645573a,drone,attitude,banc,real,joint,80000,2,ready,unmeasured
4968fa7fa238e64da2156660,drone,attitude,banc,degree_rewired,joint,80000,2,ready,unmeasured
0252e650316cfa3ba28ca66e,drone,attitude,banc,community_rewired,joint,80000,2,ready,unmeasured
ba8566a019417e6cd7182310,drone,attitude,banc,random,joint,80000,2,ready,unmeasured
0c258b1dca84dd4aa357cdcc,drone,attitude,banc,adapter_only,joint,80000,2,ready,unmeasured
e8823a1d2d1a8e947fd5475d,drone,attitude,banc,rnn,joint,80000,2,ready,unmeasured
38f4006492b07c84980c8fe5,drone,attitude,banc,gru,joint,80000,2,ready,unmeasured
56e7e35708db2e0cc0648bf2,drone,attitude,malecns,real,adapters,5000,0,ready,unmeasured
7f7b86a1b50c59b110935512,drone,attitude,malecns,degree_rewired,adapters,5000,0,ready,unmeasured
b8ccd6f3636b12dd1810ca70,drone,attitude,malecns,community_rewired,adapters,5000,0,ready,unmeasured
0ff5ac493f433eeb5d4eed46,drone,attitude,malecns,random,adapters,5000,0,ready,unmeasured
2ace96051697c292fa6d2b95,drone,attitude,malecns,adapter_only,adapters,5000,0,ready,unmeasured
178ec677dafb90e301b4aa6f,drone,attitude,malecns,rnn,adapters,5000,0,ready,unmeasured
0941405d44f5bcbbcb7cebf7,drone,attitude,malecns,gru,adapters,5000,0,ready,unmeasured
f4d1925967a2771fb57b5670,drone,attitude,malecns,real,joint,5000,0,ready,unmeasured
3967445b69c5ab415dcfd4ad,drone,attitude,malecns,degree_rewired,joint,5000,0,ready,unmeasured
a8ef3bcb814b6dfee700f9be,drone,attitude,malecns,community_rewired,joint,5000,0,ready,unmeasured
d375b1cd34c7fd323ec40957,drone,attitude,malecns,random,joint,5000,0,ready,unmeasured
83ee7e6999623c6564cd63bf,drone,attitude,malecns,adapter_only,joint,5000,0,ready,unmeasured
64a94c482287540e956e2c34,drone,attitude,malecns,rnn,joint,5000,0,ready,unmeasured
ff5bb5e3efec879ec97ac5c3,drone,attitude,malecns,gru,joint,5000,0,ready,unmeasured
3637d6b464e27913da45c711,drone,attitude,malecns,real,adapters,5000,1,ready,unmeasured
766be97706cc12986e288942,drone,attitude,malecns,degree_rewired,adapters,5000,1,ready,unmeasured
ba2802568ad9deb7fb7ceea6,drone,attitude,malecns,community_rewired,adapters,5000,1,ready,unmeasured
0a479d5ea8abac0386fa8d3e,drone,attitude,malecns,random,adapters,5000,1,ready,unmeasured
69cb4f484f114a1a54da6ecb,drone,attitude,malecns,adapter_only,adapters,5000,1,ready,unmeasured
079732eab057ad1fa0ff7014,drone,attitude,malecns,rnn,adapters,5000,1,ready,unmeasured
a5bb0e3cfd45c3fabc1dde83,drone,attitude,malecns,gru,adapters,5000,1,ready,unmeasured
b9ccb265643cf8e44df51d2c,drone,attitude,malecns,real,joint,5000,1,ready,unmeasured
1b2ae630ac21b41fd7ff8083,drone,attitude,malecns,degree_rewired,joint,5000,1,ready,unmeasured
b3472d0e7bd70300626e65e5,drone,attitude,malecns,community_rewired,joint,5000,1,ready,unmeasured
0381ef26721df690566aa9c3,drone,attitude,malecns,random,joint,5000,1,ready,unmeasured
8dfbe930ded750304ed7cf80,drone,attitude,malecns,adapter_only,joint,5000,1,ready,unmeasured
644f598d7d5dbedb485493b3,drone,attitude,malecns,rnn,joint,5000,1,ready,unmeasured
902002ea0be6b932c0314883,drone,attitude,malecns,gru,joint,5000,1,ready,unmeasured
6429fba7de9354ff508f9845,drone,attitude,malecns,real,adapters,5000,2,ready,unmeasured
29b059926d08e55a945ebe8a,drone,attitude,malecns,degree_rewired,adapters,5000,2,ready,unmeasured
3eccc7be65c7e6211975d557,drone,attitude,malecns,community_rewired,adapters,5000,2,ready,unmeasured
e0b2680fbe1ea49fc7ec0bf5,drone,attitude,malecns,random,adapters,5000,2,ready,unmeasured
78c08e2c56872ffe02368a0f,drone,attitude,malecns,adapter_only,adapters,5000,2,ready,unmeasured
00b072f17393ff36d6eff226,drone,attitude,malecns,rnn,adapters,5000,2,ready,unmeasured
d5d1ba843f574f2123a97e79,drone,attitude,malecns,gru,adapters,5000,2,ready,unmeasured
ccec766bb1f3a220f58df9e3,drone,attitude,malecns,real,joint,5000,2,ready,unmeasured
4a6c52d26fd8de7bb6796f31,drone,attitude,malecns,degree_rewired,joint,5000,2,ready,unmeasured
a0e82bb8f3123572d8d18b69,drone,attitude,malecns,community_rewired,joint,5000,2,ready,unmeasured
31ad8226e55b2e2c6e66a6c5,drone,attitude,malecns,random,joint,5000,2,ready,unmeasured
92554f6a2309afc35fa45836,drone,attitude,malecns,adapter_only,joint,5000,2,ready,unmeasured
f114a7b2e904b87c7766e2b1,drone,attitude,malecns,rnn,joint,5000,2,ready,unmeasured
4ea34e2d35a885b7afebd109,drone,attitude,malecns,gru,joint,5000,2,ready,unmeasured
f5cc568ac6ff37ddb13fed01,drone,attitude,malecns,real,adapters,20000,0,ready,unmeasured
52badefb72fb8400a187d673,drone,attitude,malecns,degree_rewired,adapters,20000,0,ready,unmeasured
ecad282af1ceea50faeccf4e,drone,attitude,malecns,community_rewired,adapters,20000,0,ready,unmeasured
96a62c9f95d71ebc89668604,drone,attitude,malecns,random,adapters,20000,0,ready,unmeasured
fc446077dff9bf3167ec2564,drone,attitude,malecns,adapter_only,adapters,20000,0,ready,unmeasured
531633efa73351cdca7b1490,drone,attitude,malecns,rnn,adapters,20000,0,ready,unmeasured
ca7ae98cab3fd3407031071c,drone,attitude,malecns,gru,adapters,20000,0,ready,unmeasured
dbc0cebbc2198a8a6da9a46e,drone,attitude,malecns,real,joint,20000,0,ready,unmeasured
a29e7b7a5463119b23176f0d,drone,attitude,malecns,degree_rewired,joint,20000,0,ready,unmeasured
03d8bde310388a958c6a2796,drone,attitude,malecns,community_rewired,joint,20000,0,ready,unmeasured
86cb2162318c7137d367034c,drone,attitude,malecns,random,joint,20000,0,ready,unmeasured
684ab6fe9d1dbe92ccdde460,drone,attitude,malecns,adapter_only,joint,20000,0,ready,unmeasured
acfcf66598fab21666701455,drone,attitude,malecns,rnn,joint,20000,0,ready,unmeasured
3931c41c5b91fb666cd2a7e2,drone,attitude,malecns,gru,joint,20000,0,ready,unmeasured
7a9744bdac745468227739a1,drone,attitude,malecns,real,adapters,20000,1,ready,unmeasured
a0c31fcf982277e7e840284d,drone,attitude,malecns,degree_rewired,adapters,20000,1,ready,unmeasured
e2099e122153947e1a037263,drone,attitude,malecns,community_rewired,adapters,20000,1,ready,unmeasured
d4a4cf901c393dc1d9bd0d34,drone,attitude,malecns,random,adapters,20000,1,ready,unmeasured
14a3a0a52f75a8bc0b572eb6,drone,attitude,malecns,adapter_only,adapters,20000,1,ready,unmeasured
09600616808fe9a0b6968e8f,drone,attitude,malecns,rnn,adapters,20000,1,ready,unmeasured
a338d7b8d916cd7306199dba,drone,attitude,malecns,gru,adapters,20000,1,ready,unmeasured
